"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub00259";0,25;0,05;0,71;0,74;0,49;0,2;0,18;0,32;0,14;0,73;0,16;0,17;0,15;0,74;0,88;0,001;0,001
"sub01027";0,48;0,91;0,87;0,77;0,5;0,51;0,999;0,66;0,87;0,9;0,25;0,02;0,001;0,001;0,49;0,001;0,02
"sub00404";0,51;0,52;0,03;0,34;0,87;0,2;0,36;0,43;0,999;0,51;0,001;0,81;0,77;0,9;0,93;0,49;0,39
"sub01254";0,63;0,94;0,76;0,88;0,86;0,89;0,9;0,9;0,54;0,5;0,001;0,84;0,999;0,5;0,999;0,98;0,52
"sub00879";0,86;0,52;0,34;0,27;0,999;0,999;0,999;0,97;0,97;0,999;0,71;0,6;0,65;0,53;0,72;0,2;0,74
"sub01533";0,39;0,17;0,02;0,44;0,65;0,42;0,67;0,26;0,84;0,43;0,001;0,57;0,57;0,59;0,999;0,92;0,96
"sub00415";0,61;0,96;0,999;0,999;0,83;0,59;0,56;0,75;0,91;0,999;0,37;0,94;0,65;0,71;0,73;0,62;0,76
"sub00031";0,3;0,07;0,15;0,34;0,58;0,35;0,7;0,85;0,4;0,57;0,2;0,36;0,32;0,33;0,97;0,03;0,66
"sub00022";0,31;0,28;0,05;0,7;0,92;0,22;0,05;0,53;0,88;0,42;0,19;0,96;0,94;0,26;0,91;0,98;0,95
"sub01053";0,81;0,15;0,31;0,19;0,86;0,84;0,81;0,87;0,87;0,34;0,72;0,21;0,12;0,18;0,65;0,54;0,42
"sub00736";0,31;0,08;0,67;0,68;0,68;0,8;0,98;0,6;0,3;0,47;0,45;0,49;0,39;0,5;0,66;0,62;0,79
"sub00870";0,48;0,51;0,61;0,74;0,44;0,53;0,62;0,6;0,89;0,68;0,47;0,38;0,36;0,37;0,9;0,26;0,1
"sub00094";0,5;0,37;0,62;0,66;0,72;0,66;0,75;0,77;0,69;0,67;0,5;0,45;0,52;0,4;0,56;0,42;0,58
"sub01136";0,64;0,76;0,79;0,7;0,5;0,68;0,76;0,83;0,78;0,82;0,83;0,82;0,84;0,95;0,98;0,97;0,8
"sub00369";0,17;0,39;0,37;0,69;0,61;0,65;0,78;0,6;0,66;0,58;0,59;0,41;0,05;0,08;0,82;0,12;0,001
"sub00324";0,74;0,56;0,001;0,22;0,6;0,5;0,5;0,62;0,93;0,72;0,08;0,4;0,05;0,001;0,56;0,28;0,2
"sub00750";0,7;0,43;0,78;0,92;0,89;0,76;0,87;0,999;0,85;0,5;0,08;0,36;0,41;0,5;0,58;0,32;0,37
"sub00973";0,001;0,999;0,999;0,999;0,84;0,89;0,999;0,999;0,001;0,999;0,001;0,999;0,999;0,999;0,999;0,999;0,999
"sub01562";0,5;0,88;0,05;0,05;0,5;0,49;0,5;0,5;0,96;0,85;0,02;0,98;0,5;0,49;0,9;0,49;0,49
"sub00684";0,58;0,27;0,89;0,55;0,999;0,85;0,999;0,98;0,7;0,96;0,05;0,79;0,76;0,57;0,94;0,53;0,85
"sub01312";0,64;0,28;0,31;0,51;0,81;0,74;0,83;0,98;0,69;0,52;0,23;0,13;0,14;0,02;0,73;0,01;0,01
"sub00728";0,21;0,32;0,001;0,79;0,7;0,33;0,49;0,69;0,999;0,999;0,8;0,76;0,16;0,19;0,999;0,23;0,31
"sub01225";0,6;0,19;0,03;0,62;0,7;0,68;0,72;0,68;0,95;0,08;0,001;0,29;0,09;0,51;0,58;0,14;0,67
"sub01169";0,53;0,4;0,36;0,66;0,59;0,8;0,84;0,67;0,82;0,69;0,06;0,75;0,04;0,08;0,95;0,93;0,94
"sub00621";0,22;0,34;0,04;0,999;0,18;0,2;0,15;0,15;0,52;0,2;0,03;0,08;0,92;0,19;0,98;0,48;0,1
"sub01493";0,52;0,24;0,05;0,47;0,64;0,69;0,77;0,49;0,62;0,27;0,11;0,14;0,25;0,48;0,73;0,21;0,19
"sub00523";0,37;0,6;0,999;0,5;0,63;0,5;0,7;0,75;0,999;0,81;0,001;0,001;0,001;0,001;0,79;0,8;0,18
"sub01529";0,7;0,69;0,16;0,71;0,95;0,64;0,69;0,82;0,58;0,81;0,28;0,83;0,56;0,56;0,4;0,61;0,63
"sub01261";0,001;0,001;0,01;0,89;0,001;0,11;0,58;0,57;0,04;0,35;0,001;0,001;0,02;0,59;0,001;0,001;0,001
"sub01124";0,5;0,7;0,7;0,91;0,57;0,72;0,98;0,95;0,67;0,73;0,05;0,03;0,89;0,73;0,76;0,44;0,49
"sub00459";0,86;0,62;0,999;0,7;0,75;0,78;0,8;0,8;0,81;0,78;0,23;0,51;0,001;0,001;0,999;0,001;0,001
"sub00329";0,52;0,57;0,55;0,67;0,47;0,51;0,75;0,61;0,58;0,45;0,39;0,37;0,23;0,63;0,62;0,42;0,74
"sub00317";0,83;0,47;0,66;0,66;0,999;0,999;0,999;0,92;0,999;0,57;0,001;0,001;0,001;0,001;0,9;0,001;0,001
"sub01400";0,14;0,12;0,28;0,32;0,22;0,05;0,41;0,37;0,29;0,13;0,04;0,03;0,02;0,01;0,24;0,04;0,04
"sub00018";0,64;0,72;0,001;0,02;0,86;0,49;0,41;0,33;0,53;0,68;0,001;0,91;0,999;0,78;0,92;0,83;0,999
"sub00744";0,36;0,51;0,23;0,7;0,33;0,36;0,49;0,65;0,8;0,39;0,25;0,51;0,66;0,71;0,6;0,5;0,52
"sub00782";0,37;0,51;0,27;0,71;0,42;0,66;0,89;0,85;0,6;0,48;0,35;0,11;0,001;0,001;0,86;0,84;0,82
"sub00724";0,26;0,39;0,001;0,57;0,56;0,56;0,7;0,78;0,999;0,45;0,001;0,999;0,001;0,001;0,55;0,55;0,999
"sub00171";0,29;0,39;0,53;0,71;0,49;0,46;0,49;0,48;0,85;0,55;0,56;0,23;0,23;0,2;0,37;0,63;0,49
"sub00917";0,2;0,82;0,999;0,61;0,62;0,56;0,93;0,76;0,56;0,87;0,08;0,04;0,28;0,07;0,31;0,56;0,34
"sub00700";0,05;0,06;0,51;0,18;0,07;0,22;0,2;0,17;0,04;0,5;0,28;0,5;0,001;0,001;0,001;0,001;0,999
"sub01252";0,37;0,27;0,3;0,41;0,73;0,61;0,5;0,38;0,74;0,72;0,17;0,14;0,39;0,28;0,71;0,25;0,36
"sub00358";0,4;0,9;0,8;0,76;0,5;0,41;0,39;0,37;0,88;0,83;0,001;0,001;0,7;0,71;0,52;0,65;0,67
"sub00526";0,37;0,36;0,29;0,63;0,56;0,47;0,36;0,21;0,48;0,75;0,62;0,001;0,001;0,001;0,67;0,001;0,01
"sub00071";0,76;0,07;0,09;0,32;0,79;0,3;0,27;0,13;0,9;0,5;0,001;0,001;0,07;0,22;0,89;0,999;0,999
"sub00097";0,16;0,56;0,43;0,5;0,34;0,33;0,52;0,54;0,46;0,5;0,71;0,62;0,38;0,38;0,6;0,34;0,8
"sub00462";0,01;0,04;0,001;0,63;0,01;0,01;0,999;0,21;0,52;0,61;0,03;0,001;0,001;0,65;0,001;0,001;0,001
"sub01341";0,19;0,4;0,12;0,19;0,47;0,26;0,9;0,92;0,38;0,67;0,06;0,05;0,01;0,08;0,54;0,06;0,01
"sub00026";0,25;0,59;0,91;0,59;0,4;0,28;0,5;0,37;0,55;0,72;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00486";0,34;0,6;0,31;0,86;0,76;0,52;0,38;0,44;0,8;0,62;0,11;0,69;0,54;0,43;0,74;0,71;0,72
"sub01385";0,999;0,42;0,75;0,94;0,999;0,86;0,88;0,89;0,999;0,34;0,38;0,62;0,8;0,94;0,28;0,86;0,84
"sub00916";0,19;0,29;0,07;0,21;0,21;0,17;0,15;0,21;0,5;0,37;0,22;0,35;0,88;0,5;0,95;0,57;0,44
"sub00174";0,51;0,73;0,53;0,62;0,73;0,28;0,56;0,49;0,75;0,71;0,65;0,77;0,64;0,28;0,91;0,82;0,8
"sub01421";0,26;0,12;0,08;0,73;0,67;0,69;0,8;0,92;0,93;0,82;0,001;0,97;0,54;0,82;0,84;0,999;0,999
"sub01515";0,35;0,65;0,62;0,37;0,34;0,4;0,27;0,41;0,08;0,52;0,001;0,52;0,14;0,26;0,87;0,96;0,97
"sub01263";0,38;0,28;0,32;0,49;0,6;0,58;0,68;0,67;0,7;0,66;0,16;0,31;0,18;0,22;0,8;0,83;0,24
"sub01373";0,07;0,55;0,05;0,59;0,23;0,23;0,72;0,36;0,001;0,33;0,57;0,12;0,77;0,33;0,84;0,12;0,8
"sub01408";0,73;0,38;0,86;0,75;0,999;0,79;0,84;0,8;0,62;0,5;0,22;0,01;0,04;0,64;0,82;0,83;0,81
"sub00034";0,84;0,32;0,37;0,77;0,999;0,81;0,87;0,999;0,999;0,52;0,001;0,4;0,38;0,36;0,48;0,48;0,56
"sub00799";0,17;0,64;0,999;0,83;0,72;0,71;0,62;0,69;0,62;0,68;0,001;0,76;0,001;0,001;0,999;0,999;0,999
"sub01005";0,52;0,12;0,28;0,34;0,69;0,36;0,11;0,42;0,47;0,12;0,01;0,001;0,17;0,11;0,86;0,28;0,53
"sub01429";0,19;0,96;0,91;0,74;0,44;0,58;0,98;0,999;0,66;0,68;0,05;0,65;0,6;0,94;0,97;0,91;0,999
"sub00234";0,5;0,42;0,72;0,84;0,84;0,75;0,67;0,64;0,86;0,77;0,09;0,28;0,38;0,37;0,81;0,23;0,2
"sub01384";0,001;0,89;0,06;0,999;0,12;0,51;0,69;0,79;0,9;0,26;0,001;0,96;0,08;0,77;0,97;0,98;0,98
"sub00343";0,34;0,999;0,001;0,83;0,26;0,3;0,83;0,999;0,51;0,999;0,01;0,42;0,001;0,001;0,46;0,17;0,001
"sub00930";0,63;0,3;0,63;0,62;0,9;0,87;0,72;0,72;0,89;0,49;0,04;0,57;0,999;0,999;0,999;0,999;0,999
"sub01513";0,15;0,59;0,47;0,44;0,22;0,17;0,02;0,12;0,999;0,66;0,02;0,09;0,37;0,39;0,56;0,51;0,39
"sub01055";0,24;0,71;0,45;0,67;0,28;0,35;0,46;0,62;0,65;0,7;0,37;0,37;0,35;0,3;0,39;0,52;0,42
"sub00196";0,55;0,56;0,65;0,72;0,69;0,51;0,56;0,7;0,91;0,66;0,56;0,73;0,32;0,16;0,89;0,97;0,51
"sub00114";0,08;0,22;0,001;0,82;0,97;0,63;0,7;0,74;0,91;0,72;0,9;0,999;0,999;0,38;0,999;0,999;0,999
"sub01075";0,38;0,32;0,15;0,82;0,7;0,74;0,63;0,67;0,64;0,67;0,01;0,64;0,55;0,47;0,46;0,81;0,79
"sub00473";0,26;0,42;0,66;0,92;0,81;0,59;0,71;0,63;0,16;0,17;0,05;0,8;0,85;0,94;0,95;0,51;0,5
"sub01065";0,64;0,06;0,09;0,87;0,83;0,59;0,52;0,39;0,73;0,27;0,001;0,001;0,999;0,999;0,001;0,001;0,001
"sub01387";0,22;0,05;0,16;0,44;0,19;0,27;0,35;0,39;0,17;0,11;0,001;0,001;0,001;0,001;0,001;0,28;0,001
"sub00221";0,51;0,2;0,41;0,75;0,76;0,77;0,82;0,79;0,8;0,8;0,59;0,21;0,22;0,2;0,85;0,24;0,18
"sub00107";0,59;0,14;0,21;0,69;0,62;0,62;0,65;0,64;0,15;0,27;0,01;0,86;0,8;0,9;0,97;0,95;0,95
"sub00270";0,54;0,62;0,72;0,87;0,7;0,999;0,89;0,999;0,999;0,97;0,52;0,85;0,62;0,71;0,77;0,76;0,001
"sub01047";0,17;0,68;0,001;0,42;0,2;0,31;0,48;0,26;0,6;0,68;0,24;0,01;0,001;0,001;0,12;0,24;0,001
"sub00414";0,51;0,5;0,999;0,999;0,999;0,71;0,999;0,999;0,98;0,74;0,001;0,999;0,999;0,999;0,999;0,999;0,999
"sub00905";0,79;0,28;0,03;0,35;0,27;0,68;0,999;0,999;0,81;0,6;0,001;0,15;0,5;0,18;0,999;0,82;0,7
"sub01434";0,94;0,76;0,67;0,75;0,999;0,999;0,999;0,999;0,96;0,79;0,24;0,71;0,93;0,95;0,999;0,999;0,999
"sub00773";0,27;0,62;0,29;0,54;0,64;0,5;0,82;0,65;0,24;0,6;0,5;0,5;0,001;0,001;0,001;0,001;0,01
"sub01178";0,51;0,76;0,14;0,64;0,81;0,4;0,58;0,64;0,36;0,62;0,18;0,7;0,12;0,15;0,8;0,999;0,999
"sub00997";0,37;0,25;0,48;0,51;0,69;0,67;0,73;0,75;0,8;0,69;0,04;0,08;0,11;0,13;0,64;0,33;0,03
"sub00641";0,22;0,18;0,42;0,61;0,42;0,48;0,75;0,41;0,65;0,29;0,68;0,001;0,17;0,001;0,97;0,03;0,02
"sub01247";0,35;0,51;0,05;0,83;0,75;0,37;0,4;0,51;0,55;0,52;0,22;0,01;0,04;0,08;0,81;0,63;0,73
"sub01259";0,24;0,95;0,3;0,73;0,51;0,31;0,24;0,4;0,12;0,15;0,03;0,001;0,001;0,001;0,001;0,001;0,001
"sub01501";0,17;0,89;0,001;0,9;0,86;0,63;0,5;0,32;0,81;0,84;0,001;0,65;0,38;0,88;0,999;0,001;0,68
"sub00906";0,01;0,95;0,29;0,74;0,48;0,52;0,53;0,55;0,1;0,44;0,66;0,5;0,18;0,1;0,04;0,02;0,02
"sub01151";0,001;0,13;0,59;0,35;0,14;0,33;0,46;0,27;0,09;0,73;0,12;0,29;0,001;0,63;0,89;0,999;0,8
"sub01274";0,13;0,19;0,001;0,18;0,3;0,39;0,45;0,68;0,001;0,77;0,001;0,001;0,01;0,001;0,8;0,96;0,999
"sub00363";0,001;0,999;0,999;0,53;0,07;0,04;0,1;0,32;0,42;0,27;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00762";0,18;0,36;0,2;0,45;0,43;0,5;0,5;0,51;0,68;0,49;0,19;0,001;0,001;0,001;0,36;0,001;0,001
"sub01147";0,001;0,24;0,29;0,5;0,05;0,001;0,09;0,09;0,2;0,25;0,001;0,001;0,001;0,001;0,5;0,17;0,19
"sub00705";0,65;0,42;0,29;0,69;0,69;0,65;0,7;0,69;0,999;0,75;0,81;0,3;0,57;0,5;0,94;0,29;0,001
"sub01585";0,26;0,62;0,14;0,35;0,39;0,22;0,22;0,08;0,65;0,33;0,04;0,12;0,6;0,08;0,93;0,13;0,29
"sub01041";0,49;0,85;0,22;0,61;0,73;0,43;0,77;0,49;0,82;0,9;0,44;0,23;0,11;0,16;0,69;0,16;0,13
"sub01295";0,52;0,24;0,001;0,19;0,61;0,63;0,999;0,81;0,23;0,14;0,32;0,6;0,64;0,38;0,91;0,25;0,82
"sub01372";0,33;0,01;0,999;0,999;0,1;0,11;0,29;0,63;0,51;0,47;0,4;0,25;0,72;0,71;0,88;0,85;0,95
"sub00185";0,6;0,81;0,72;0,7;0,71;0,75;0,73;0,73;0,82;0,84;0,04;0,16;0,24;0,27;0,63;0,67;0,28
"sub01307";0,65;0,5;0,94;0,89;0,8;0,77;0,82;0,79;0,55;0,93;0,26;0,73;0,999;0,86;0,9;0,999;0,5
"sub00718";0,83;0,67;0,21;0,65;0,3;0,83;0,87;0,97;0,84;0,49;0,04;0,54;0,21;0,89;0,999;0,001;0,52
"sub00559";0,77;0,85;0,09;0,69;0,21;0,51;0,61;0,61;0,17;0,77;0,001;0,3;0,59;0,999;0,999;0,999;0,999
"sub00048";0,9;0,97;0,95;0,58;0,67;0,47;0,54;0,65;0,75;0,59;0,06;0,9;0,96;0,77;0,96;0,96;0,23
"sub01328";0,09;0,54;0,31;0,24;0,83;0,92;0,88;0,98;0,52;0,57;0,08;0,02;0,03;0,37;0,03;0,02;0,001
"sub00235";0,001;0,37;0,52;0,47;0,07;0,001;0,37;0,01;0,66;0,22;0,03;0,1;0,001;0,001;0,001;0,001;0,01
"sub01300";0,49;0,9;0,84;0,77;0,5;0,51;0,64;0,7;0,999;0,83;0,999;0,61;0,69;0,69;0,7;0,61;0,51
"sub00030";0,22;0,59;0,64;0,68;0,59;0,66;0,86;0,82;0,83;0,73;0,72;0,36;0,89;0,48;0,67;0,34;0,24
"sub01395";0,07;0,22;0,999;0,999;0,89;0,74;0,999;0,8;0,98;0,77;0,11;0,59;0,15;0,12;0,44;0,51;0,48
"sub00206";0,45;0,62;0,68;0,62;0,55;0,54;0,56;0,61;0,59;0,61;0,36;0,38;0,21;0,24;0,64;0,29;0,23
"sub00402";0,64;0,06;0,07;0,81;0,86;0,64;0,72;0,65;0,7;0,17;0,5;0,85;0,2;0,82;0,86;0,97;0,999
"sub00557";0,97;0,25;0,84;0,999;0,82;0,89;0,69;0,75;0,999;0,71;0,07;0,9;0,9;0,999;0,999;0,83;0,98
"sub00852";0,46;0,54;0,3;0,68;0,38;0,92;0,95;0,98;0,96;0,95;0,06;0,81;0,92;0,95;0,95;0,94;0,96
"sub00320";0,47;0,49;0,61;0,59;0,54;0,54;0,58;0,63;0,31;0,73;0,59;0,52;0,5;0,55;0,54;0,56;0,56
"sub00832";0,73;0,66;0,001;0,34;0,78;0,95;0,999;0,999;0,999;0,73;0,001;0,999;0,9;0,999;0,999;0,999;0,999
"sub00186";0,04;0,5;0,1;0,05;0,02;0,04;0,2;0,08;0,49;0,69;0,51;0,001;0,001;0,001;0,999;0,001;0,001
"sub00365";0,35;0,03;0,21;0,4;0,55;0,11;0,14;0,41;0,78;0,53;0,06;0,15;0,11;0,11;0,35;0,14;0,85
"sub00971";0,75;0,28;0,12;0,62;0,71;0,999;0,999;0,999;0,78;0,38;0,001;0,001;0,57;0,24;0,22;0,52;0,81
"sub01362";0,26;0,59;0,69;0,79;0,92;0,17;0,37;0,65;0,85;0,33;0,35;0,1;0,03;0,62;0,11;0,08;0,09
"sub00422";0,21;0,07;0,51;0,61;0,79;0,28;0,3;0,37;0,44;0,17;0,97;0,16;0,05;0,1;0,56;0,001;0,04
"sub00096";0,37;0,66;0,51;0,7;0,66;0,71;0,88;0,93;0,65;0,68;0,001;0,11;0,2;0,3;0,91;0,999;0,999
"sub00023";0,32;0,13;0,64;0,98;0,64;0,64;0,88;0,68;0,69;0,5;0,08;0,02;0,05;0,04;0,12;0,06;0,06
"sub00254";0,8;0,63;0,1;0,9;0,88;0,83;0,86;0,92;0,94;0,49;0,77;0,93;0,999;0,999;0,999;0,999;0,49
"sub01043";0,22;0,001;0,05;0,49;0,13;0,11;0,15;0,23;0,87;0,48;0,35;0,61;0,001;0,001;0,75;0,49;0,93
"sub01296";0,7;0,54;0,11;0,86;0,77;0,8;0,79;0,8;0,62;0,31;0,07;0,001;0,08;0,3;0,72;0,001;0,86
"sub01320";0,64;0,88;0,84;0,87;0,62;0,7;0,82;0,53;0,87;0,69;0,001;0,63;0,48;0,48;0,91;0,66;0,49
"sub01435";0,02;0,59;0,22;0,6;0,13;0,01;0,02;0,11;0,38;0,49;0,05;0,04;0,32;0,29;0,6;0,62;0,49
"sub01125";0,48;0,999;0,001;0,999;0,999;0,999;0,999;0,999;0,999;0,999;0,001;0,999;0,999;0,999;0,999;0,999;0,999
"sub01213";0,31;0,53;0,14;0,41;0,42;0,45;0,27;0,3;0,66;0,47;0,11;0,79;0,1;0,14;0,83;0,85;0,49
"sub00297";0,21;0,56;0,11;0,48;0,48;0,49;0,48;0,48;0,98;0,54;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00435";0,73;0,18;0,33;0,85;0,57;0,97;0,66;0,59;0,35;0,66;0,01;0,12;0,999;0,001;0,999;0,27;0,999
"sub00505";0,16;0,11;0,19;0,68;0,51;0,26;0,3;0,26;0,78;0,87;0,79;0,02;0,63;0,23;0,94;0,28;0,52
"sub00722";0,2;0,08;0,49;0,63;0,74;0,82;0,72;0,74;0,84;0,62;0,12;0,999;0,5;0,51;0,69;0,999;0,999
"sub01112";0,35;0,71;0,87;0,88;0,54;0,6;0,67;0,61;0,52;0,54;0,49;0,77;0,48;0,52;0,98;0,97;0,96
"sub00380";0,75;0,001;0,001;0,86;0,999;0,999;0,999;0,999;0,999;0,79;0,001;0,21;0,79;0,001;0,999;0,87;0,9
"sub01401";0,35;0,44;0,4;0,18;0,37;0,55;0,56;0,61;0,999;0,49;0,03;0,21;0,001;0,19;0,49;0,51;0,82
"sub00249";0,56;0,11;0,29;0,51;0,85;0,79;0,86;0,88;0,4;0,5;0,25;0,12;0,001;0,001;0,001;0,001;0,001
"sub00285";0,22;0,38;0,72;0,32;0,43;0,45;0,46;0,42;0,94;0,75;0,32;0,71;0,89;0,71;0,66;0,12;0,1
"sub01062";0,21;0,2;0,999;0,8;0,49;0,999;0,999;0,999;0,999;0,5;0,001;0,51;0,001;0,001;0,999;0,999;0,999
"sub01063";0,5;0,88;0,92;0,84;0,999;0,67;0,86;0,999;0,38;0,999;0,24;0,76;0,81;0,5;0,5;0,72;0,74
"sub01491";0,59;0,71;0,999;0,83;0,83;0,61;0,1;0,33;0,999;0,9;0,14;0,23;0,51;0,25;0,999;0,75;0,001
"sub00405";0,18;0,39;0,12;0,57;0,61;0,51;0,51;0,48;0,24;0,35;0,38;0,37;0,44;0,4;0,5;0,5;0,63
"sub00731";0,35;0,32;0,5;0,53;0,2;0,3;0,999;0,53;0,001;0,52;0,01;0,27;0,67;0,7;0,57;0,7;0,77
"sub00551";0,02;0,73;0,9;0,88;0,36;0,1;0,999;0,999;0,12;0,86;0,09;0,56;0,999;0,999;0,999;0,66;0,81
"sub01033";0,31;0,25;0,06;0,29;0,27;0,43;0,999;0,51;0,67;0,3;0,37;0,67;0,73;0,24;0,999;0,73;0,19
"sub00691";0,16;0,88;0,18;0,66;0,5;0,1;0,57;0,75;0,73;0,999;0,1;0,06;0,001;0,001;0,22;0,001;0,001
"sub00121";0,18;0,17;0,38;0,17;0,24;0,35;0,5;0,5;0,86;0,22;0,001;0,5;0,56;0,73;0,53;0,03;0,001
"sub00947";0,57;0,67;0,85;0,76;0,82;0,73;0,75;0,74;0,77;0,73;0,69;0,69;0,48;0,999;0,999;0,89;0,07
"sub01281";0,6;0,2;0,95;0,34;0,79;0,63;0,6;0,65;0,26;0,51;0,05;0,66;0,79;0,7;0,77;0,77;0,88
"sub01505";0,54;0,27;0,97;0,74;0,8;0,7;0,75;0,85;0,66;0,34;0,69;0,34;0,2;0,34;0,8;0,88;0,79
"sub00821";0,77;0,88;0,69;0,91;0,84;0,85;0,84;0,85;0,86;0,88;0,23;0,89;0,83;0,73;0,96;0,69;0,92
"sub01368";0,17;0,4;0,11;0,89;0,94;0,76;0,999;0,999;0,41;0,6;0,23;0,16;0,001;0,001;0,28;0,05;0,3
"sub00275";0,05;0,25;0,18;0,85;0,2;0,21;0,63;0,93;0,86;0,95;0,23;0,35;0,38;0,21;0,23;0,05;0,04
"sub00866";0,56;0,77;0,59;0,72;0,999;0,999;0,999;0,999;0,82;0,97;0,001;0,01;0,13;0,5;0,14;0,18;0,73
"sub01200";0,51;0,34;0,01;0,66;0,77;0,58;0,86;0,91;0,7;0,44;0,25;0,32;0,31;0,79;0,999;0,86;0,48
"sub00308";0,39;0,31;0,66;0,8;0,57;0,51;0,32;0,51;0,84;0,65;0,31;0,23;0,67;0,66;0,68;0,68;0,27
"sub01218";0,63;0,56;0,22;0,31;0,92;0,61;0,56;0,66;0,84;0,92;0,07;0,29;0,49;0,65;0,54;0,82;0,83
"sub01561";0,28;0,44;0,001;0,72;0,5;0,62;0,83;0,92;0,63;0,999;0,001;0,999;0,91;0,21;0,999;0,25;0,999
"sub01453";0,09;0,67;0,11;0,89;0,11;0,11;0,72;0,98;0,15;0,84;0,17;0,74;0,15;0,11;0,49;0,93;0,92
"sub01166";0,58;0,17;0,69;0,92;0,63;0,76;0,74;0,71;0,9;0,24;0,19;0,11;0,09;0,51;0,65;0,68;0,24
"sub00277";0,16;0,5;0,51;0,64;0,36;0,04;0,41;0,51;0,93;0,58;0,001;0,52;0,03;0,52;0,48;0,001;0,6
"sub00286";0,46;0,68;0,02;0,32;0,75;0,68;0,65;0,51;0,15;0,87;0,26;0,77;0,52;0,84;0,97;0,999;0,999
"sub00839";0,68;0,65;0,72;0,58;0,999;0,58;0,999;0,999;0,64;0,72;0,57;0,2;0,31;0,999;0,57;0,999;0,76
"sub00217";0,44;0,18;0,6;0,47;0,95;0,999;0,77;0,76;0,999;0,51;0,19;0,78;0,45;0,42;0,76;0,09;0,51
"sub01365";0,31;0,24;0,001;0,84;0,999;0,24;0,49;0,24;0,71;0,69;0,51;0,89;0,94;0,89;0,999;0,999;0,999
"sub01165";0,27;0,74;0,89;0,91;0,27;0,25;0,13;0,28;0,02;0,49;0,3;0,65;0,49;0,06;0,98;0,95;0,9
"sub00495";0,11;0,06;0,999;0,58;0,21;0,39;0,47;0,48;0,64;0,66;0,39;0,31;0,32;0,66;0,61;0,64;0,63
"sub01464";0,29;0,25;0,08;0,84;0,25;0,39;0,999;0,999;0,999;0,75;0,001;0,06;0,73;0,74;0,77;0,79;0,88
"sub01323";0,35;0,62;0,31;0,4;0,66;0,56;0,68;0,71;0,25;0,8;0,001;0,21;0,2;0,17;0,22;0,001;0,001
"sub00230";0,75;0,13;0,28;0,76;0,59;0,73;0,72;0,79;0,6;0,69;0,001;0,65;0,46;0,69;0,999;0,999;0,999
"sub00132";0,01;0,13;0,001;0,37;0,04;0,07;0,38;0,36;0,67;0,14;0,13;0,001;0,001;0,001;0,001;0,001;0,24
"sub01570";0,001;0,001;0,001;0,01;0,01;0,01;0,21;0,24;0,13;0,25;0,001;0,001;0,001;0,001;0,64;0,001;0,001
"sub01574";0,12;0,999;0,55;0,44;0,22;0,16;0,39;0,37;0,82;0,72;0,35;0,001;0,001;0,001;0,001;0,001;0,001
"sub01126";0,14;0,68;0,001;0,56;0,26;0,13;0,27;0,35;0,95;0,51;0,09;0,66;0,001;0,001;0,06;0,74;0,5
"sub01158";0,51;0,08;0,17;0,63;0,51;0,52;0,52;0,54;0,38;0,75;0,001;0,001;0,001;0,001;0,16;0,001;0,001
"sub01294";0,77;0,2;0,76;0,96;0,19;0,4;0,71;0,79;0,67;0,86;0,16;0,61;0,3;0,69;0,7;0,78;0,88
"sub01058";0,53;0,22;0,001;0,79;0,48;0,7;0,63;0,71;0,67;0,75;0,2;0,02;0,07;0,05;0,81;0,03;0,05
"sub00568";0,14;0,3;0,05;0,38;0,6;0,47;0,18;0,18;0,91;0,53;0,81;0,08;0,66;0,11;0,91;0,06;0,5
"sub00912";0,29;0,24;0,73;0,69;0,21;0,02;0,51;0,23;0,86;0,6;0,01;0,001;0,02;0,01;0,79;0,001;0,001
"sub00721";0,55;0,43;0,19;0,84;0,8;0,81;0,82;0,63;0,9;0,52;0,09;0,89;0,36;0,999;0,91;0,97;0,84
"sub00740";0,27;0,66;0,92;0,69;0,65;0,56;0,82;0,8;0,89;0,77;0,18;0,32;0,3;0,28;0,999;0,28;0,23
"sub01556";0,33;0,54;0,42;0,34;0,4;0,3;0,39;0,33;0,22;0,24;0,25;0,16;0,15;0,1;0,77;0,49;0,55
"sub00525";0,48;0,2;0,001;0,04;0,48;0,48;0,48;0,48;0,72;0,15;0,07;0,76;0,15;0,26;0,999;0,999;0,27
"sub00180";0,64;0,001;0,21;0,75;0,999;0,79;0,7;0,72;0,93;0,999;0,001;0,999;0,999;0,001;0,999;0,999;0,999
"sub00703";0,01;0,05;0,78;0,95;0,12;0,19;0,21;0,2;0,67;0,35;0,04;0,16;0,18;0,21;0,7;0,47;0,16
"sub01512";0,49;0,26;0,02;0,12;0,5;0,36;0,65;0,64;0,999;0,35;0,02;0,82;0,5;0,74;0,999;0,93;0,08
"sub00265";0,62;0,1;0,13;0,55;0,96;0,66;0,999;0,999;0,56;0,5;0,001;0,58;0,17;0,65;0,999;0,999;0,999
"sub01199";0,6;0,31;0,52;0,67;0,94;0,72;0,73;0,74;0,94;0,65;0,12;0,46;0,17;0,38;0,68;0,49;0,31
